Review Title,Review Text,Review Date,Review Rating

"exelant hotel in the heart of the city
",On the whole experience was very good .Lunch and buffet breakfast was awesome In the room the mattress was bad .That could have been changed Certainly we will visit again,23/08/2016,5
"",The service was great. The hotel was very clean. The breakfast was pretty awesome which was included by the way. I would definitely stay at this hotel again and I highly recommend the same.,21/06/2016,5
Good for party animals!,The hotel is a little tired and very noisy on Friday and Saturdays.,26/05/2016,4
Excellent - A améliorer la qualité des restaurants,"Excellent. Sauf pour les restaurant, où il faut améliorer la qualité de la nourriture.",02/05/2016,4
Great hotel on MG Rd,"Always stay here, this time found two staff who were extremely helpful daily - Hitesh at reception, and the restaurant supervisor who personally looked after me daily at breakfast.",23/04/2016,5
The staff are THE. BEST! The food is fantastic! ,Everything is fantastic! Staff the best! Food fantastic and across the street from shopping! All terrific! ,15/04/2016,5
Staff was excellent ,"overall experience is pleasant .
Staff at front office especially the manager  and house keeping staff were very well spoken and  polite and prompt as well .
pointer for concern :
Room cleaning was not the taj standard .
The pool was dirty most of the day due to leaves and dust .
The most concerning was the noise levels since most of the rooms are road facing ,maybe using more toughend glass may help to keep that in check .

",12/04/2016,4
"Superb staff, excellent restaurant, great location","We had a family reunion and the staff made us all feel very welcome. They did everything to make our stay great including upgrading us so that our rooms were all very near each other. Any request was met with prompt, pleasant service and the staff were all very friendly while allowing us our space. I had double-booked but the duty manager Nazim couldn't have been nicer and yet very professional. He waived the charges we might have faced after I mentioned that we have stayed at several Taj hotels over the past twenty five years and that we were staying for two weeks at the Connemara and MG Road hotels on this trip. Our thanks to Nazim and all the staff for their wonderful hospitality. The Memories of China restaurant where we had a birthday celebration was also a wonderful experience as was the street food event held every Wednesday - great food, great music! Room service as ever was excellent. The pool area although pleasant could do with updating but I believe this is being done next year. Will definitely stay here on our next trip to Bangalore.",11/04/2016,5
Sehr gut,"Sehr gutes Hotel, gutes Service",10/04/2016,5
"",With Very noisy street it was my sleepless first night even though my room was on the highest floor of the hotel. Was shifted to other end of the hotel for somewhat lesser noise. Hope they come up with some soundproof solutions.,09/04/2016,3
Unforgettable memories,"After 21 hours of flight, it was a very pleasant feeling to find this oasis of peace and comfort in the middle of a very busy city. I was treated very well and felt quite spoiled. Very good restaurants, with great local and western choices.
My favourite moment was having breakfast (which was complementary) and topped my expectations. BRAVO !",05/04/2016,5
Not 5 star ,"This hotel was nice and staff great, however the rooms are old, bed not comfortable as 5 star quality 


Far as amenities it's comparable with those of 4 star hotels in cities like NYC. 
And NOT 5 star hotels in cities like Mumbai, not nearly similar or comparable to the Oberoi next door which is by far the best in the area. ",24/03/2016,3
"",Centrally located and great value for money . Will definitely stay in future as well ,23/02/2016,5
Good hotel with a good location,"Overall, i had a good experience at the hotel. The hotel staff is mostly excellent, and i would rate it as among the best in the world, though concierge desk was extremely disappointing and depressing. Centrally located but can be detrimental to sleep quality as there is too much traffic noise. Also, pool music was played at ear drum shattering levels late into the night on one Saturday. Gym is well equipped and manned 24/7, but lacks a stretch machine. Breakfast fare is very good but both seating and staff should be increased. Internet access to business news websites at bloomberg and cnbc was initially denied with the message that the ""competent authority"" and/or ""court' had barred access to these sites. I had to call up help desk for three consecutive days before it became available on a permanent basis. Inexplicably, access to American college football websites was also denied with the same message. The internet speed on the other hand was good and there were almost 200 channels available on TV. The hotel has staff available at the airport to help passengers with their luggage and other formalities. 
During my week stay i developed a sore throat and upon learning of this the cafe manager had kitchen make a special soup. The Chinese restaurant at hotel is very good. 

Overall my experience with the hotel was pleasant and my stay comfortable. I will definitely stay here during my next visit to Bengaluru. ",16/02/2016,4
"",I had to wait for more than an hour for check in . Not even offered for tea/coffee while waiting.,10/02/2016,3
Excellent location and priced right ,Excellent staff - very helpful and courteous staff. Very accommodating and try their best. Hats off to the lobby staff especially Pratchi - special mention for being client centred. ,22/01/2016,5
快適なホテル,"バンガロールの中心街にあり目の前にはハーゲンダッツが入っているモールがある。
部屋は清潔でサイズも丁度良い。惜しむらくは、無料のWIFIに電波が弱く、有料を使わざるを得なくなった事と湯船がない事くらい。",20/01/2016,4
Decent Weekend Relaxation option,"This is a decent option for relaxation.
Also good as it's nearby Metro Station, Mall and Movie-theater.",19/01/2016,4
Bangalore Stay,"We stayed for a couple of days from January 9 to 11. One of the best hotels in India. It has a fantastic location with  Mall on the side.
FRom checking to departure, it was a pleasing experience.The variety of juices (bitter gould, beet roots etc), variety of local dishes and local fruits were great. Hats off to the cooks hho made it interesting",18/01/2016,5
Very friendly people in restaurants as well other.,Front desk team needs training and do not meet Taj standards unless Taj has lowered their standards.,13/01/2016,3
